global_step=31704, episodic_return=[-14.92], time=0.04963207244873047
global_step=31744, episodic_return=[-22.22], time=0.017043590545654297
global_step=31816, episodic_return=[-16.92], time=0.031426429748535156
global_step=31960, episodic_return=[-20.05], time=0.06311440467834473
global_step=32096, episodic_return=[-25.96], time=0.05408906936645508
global_step=32168, episodic_return=[-29.68], time=0.02817368507385254
global_step=32184, episodic_return=[-663.07  -73.07], time=0.0055942535400390625
global_step=32344, episodic_return=[-31.88], time=0.06457734107971191
global_step=32512, episodic_return=[-6.27], time=0.06516313552856445
global_step=32736, episodic_return=[-9.96], time=0.08289957046508789
global_step=32816, episodic_return=[-20.84], time=2.0102527141571045
global_step=32936, episodic_return=[-88.18], time=0.05521273612976074
global_step=33008, episodic_return=[-33.24], time=0.028568744659423828
global_step=33080, episodic_return=[4.96], time=0.024307727813720703
global_step=33288, episodic_return=[-13.17], time=0.08400154113769531
global_step=33672, episodic_return=[-41.17], time=0.14973926544189453
global_step=33784, episodic_return=[-24.29], time=0.0513005256652832
global_step=34032, episodic_return=[-35.29], time=0.10701537132263184
global_step=34256, episodic_return=[5.34], time=0.09141135215759277
global_step=34352, episodic_return=[-19.88], time=0.03653526306152344
global_step=34472, episodic_return=[-102.29], time=0.04830670356750488
global_step=34560, episodic_return=[-73.23], time=0.04009604454040527
global_step=34720, episodic_return=[-7.67], time=0.0714101791381836
global_step=34800, episodic_return=[-22.26], time=0.030220985412597656
global_step=34920, episodic_return=[-11.96], time=0.060805559158325195
global_step=35240, episodic_return=[-38.81], time=0.12072181701660156
global_step=35384, episodic_return=[-14.52], time=0.0592799186706543
global_step=35568, episodic_return=[-18.17], time=0.0674135684967041
global_step=35688, episodic_return=[-109.13], time=0.0450129508972168
global_step=35704, episodic_return=[4.59], time=0.005597352981567383
global_step=35880, episodic_return=[-658.4], time=0.06473374366760254
global_step=36000, episodic_return=[-184.18], time=0.04533982276916504
global_step=36056, episodic_return=[-134.36], time=0.022197961807250977
global_step=36160, episodic_return=[-37.69], time=0.05355477333068848
global_step=36288, episodic_return=[-8.96], time=0.051363229751586914
global_step=36416, episodic_return=[-35.83], time=0.05571484565734863
global_step=36472, episodic_return=[-36.21], time=0.02466559410095215
global_step=36616, episodic_return=[-585.56], time=0.061208486557006836
global_step=36744, episodic_return=[-614.75], time=0.047287702560424805
global_step=36800, episodic_return=[-17.42], time=0.021332740783691406
global_step=36952, episodic_return=[-49.52], time=0.05697321891784668
global_step=37072, episodic_return=[1.73], time=0.046140193939208984
global_step=37120, episodic_return=[-58.05], time=0.024723052978515625
global_step=37200, episodic_return=[-66.29], time=0.03404521942138672
global_step=37224, episodic_return=[-5.9], time=0.011442422866821289
global_step=37272, episodic_return=[1.3], time=0.016997337341308594
global_step=37360, episodic_return=[-6.13], time=0.03652453422546387
global_step=37368, episodic_return=[12.91], time=0.0028324127197265625
global_step=37448, episodic_return=[10.3], time=0.03832101821899414
global_step=37488, episodic_return=[-56.09], time=0.017145633697509766
global_step=37576, episodic_return=[-8.51], time=0.04511117935180664
global_step=37744, episodic_return=[-13.14], time=0.0734553337097168
global_step=38008, episodic_return=[-66.05], time=0.10931396484375
